Session,Date,Present,Reason,No Reason,Visitors,% Accounted For
82B*-KIDS Church Leaders 11am,02/26/2023,10,0,5,0,66.67%
82B-KIDS Church 11am Room 05,02/26/2023,60,0,73,0,45.11%
86A*-PRE Workers 930,02/26/2023,8,0,4,0,66.67%
86A-PRE Babies/Toddlers 9:30 (RM 118),02/26/2023,3,0,9,0,25.00%
86A-PRE Older Preschool 9:30 (RM 108),02/26/2023,5,0,10,0,33.33%
86A-PRE Younger Preschool 9:30 (RM 109),02/26/2023,1,0,8,0,11.11%
86B*-PRE Workers 11am,02/26/2023,1,0,47,0,2.08%
86B-PRE - Babies/Toddlers 11:00 (RM 118),02/26/2023,7,0,13,0,35.00%
86B-PRE - Older Preschool 11:00 (RM 108),02/26/2023,7,0,28,0,20.00%
86B-PRE - Younger Preschool 11:00 (RM 109),02/26/2023,4,0,16,0,20.00%
84D*-Kids Club Leaders,02/22/2023,32,0,7,0,82.05%
84D-KIDS CLUB 1st GRADE - RM 08,02/22/2023,8,0,5,0,61.54%
84D-KIDS CLUB 2nd & 3rd RM 15,02/22/2023,4,0,4,0,50.00%
